id,lastUpdateTime,name,total_confirm,total_suspect,total_heal,total_dead,total_severe,total_input,total_newConfirm,total_newDead,total_newHeal,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm
420000,2021-04-13 00:02:11,湖北,68154,0,63640,4512,0,0,,,,0,,0,0,,0
810000,2021-04-13 17:12:31,香港,11607,0,11226,207,0,0,,,,13,,20,0,,6
440000,2021-04-13 08:47:20,广东,2301,0,2254,8,0,0,,,,2,,1,0,,1
310000,2021-04-13 08:47:19,上海,1926,0,1866,7,0,0,,,,1,,0,0,,1
230000,2021-04-13 00:02:09,黑龙江,1610,0,1597,13,0,0,,,,0,,0,0,,0
330000,2021-04-13 09:52:21,浙江,1327,0,1320,1,0,0,,,,2,,0,0,,2
130000,2021-04-13 00:02:10,河北,1317,0,1310,7,0,0,,,,0,,0,0,,0
410000,2021-04-13 00:02:10,河南,1311,0,1284,22,0,0,,,,0,,0,0,,0
700000,2021-04-13 17:12:30,台湾,1062,0,1027,11,0,0,,,,5,,5,0,,0
110000,2021-04-13 08:47:20,北京,1057,0,1038,9,0,0,463.0,0.0,453.0,0,,0,0,,0
430000,2021-04-13 08:47:20,湖南,1044,0,1035,4,0,0,,,,0,,0,0,,0
340000,2021-04-13 00:02:10,安徽,994,0,988,6,0,0,,,,0,,0,0,,0
650000,2021-04-13 00:02:10,新疆,980,0,977,3,0,0,,,,0,,0,0,,0
510000,2021-04-13 08:47:20,四川,957,0,940,3,0,0,,,,2,,7,0,,-5
360000,2021-04-13 00:02:10,江西,937,0,936,1,0,0,,,,0,,0,0,,0
370000,2021-04-13 08:47:20,山东,873,0,862,7,0,0,,,,0,,0,0,,0
320000,2021-04-13 00:02:10,江苏,716,0,708,0,0,0,,,,0,,0,0,,0
500000,2021-04-13 00:02:10,重庆,591,0,585,6,0,0,,,,0,,0,0,,0
350000,2021-04-13 11:02:29,福建,581,0,556,1,0,0,,,,1,,1,0,,0
610000,2021-04-13 08:47:20,陕西,578,0,561,3,0,0,,,,0,,0,0,,0
220000,2021-04-13 00:02:10,吉林,573,0,570,3,0,0,,,,0,,0,0,,0
210000,2021-04-13 00:02:10,辽宁,408,0,405,2,0,0,,,,0,,0,0,,0
150000,2021-04-13 00:02:11,内蒙古,377,0,374,1,0,0,,,,0,,0,0,,0
120000,2021-04-13 09:52:20,天津,376,0,368,3,0,0,,,,0,,2,0,,-2
530000,2021-04-13 08:47:20,云南,324,0,231,2,0,0,,,,1,,0,0,,1
450000,2021-04-13 00:02:10,广西,270,0,265,2,0,0,,,,0,,0,0,,0
140000,2021-04-13 00:02:10,山西,248,0,240,0,0,0,,,,0,,0,0,,0
620000,2021-04-13 08:47:20,甘肃,193,0,190,2,0,0,,,,0,,0,0,,0
460000,2021-04-13 00:02:10,海南,171,0,165,6,0,0,,,,0,,0,0,,0
520000,2021-04-13 00:02:10,贵州,147,0,145,2,0,0,,,,0,,0,0,,0
640000,2021-04-13 00:02:10,宁夏,75,0,75,0,0,0,,,,0,,0,0,,0
820000,2021-04-13 00:02:10,澳门,49,0,48,0,0,0,,,,0,,0,0,,0
630000,2021-04-13 00:02:10,青海,18,0,18,0,0,0,,,,0,,0,0,,0
540000,2021-04-13 00:02:09,西藏,1,0,1,0,0,0,,,,0,,0,0,,0
