id,lastUpdateTime,name,total_confirm,total_suspect,total_heal,total_dead,total_severe,total_input,total_newConfirm,total_newDead,total_newHeal,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm
420000,2021-04-20 09:05:43,湖北,68156,0,63640,4512,0,0,,,,1,,0,0,,1
810000,2021-04-20 09:05:43,香港,11695,0,11274,209,0,0,,,,12,,4,0,,8
440000,2021-04-20 08:50:43,广东,2319,0,2268,8,0,0,,,,0,,4,0,,-4
310000,2021-04-20 08:50:42,上海,1946,0,1880,7,0,0,,,,3,,1,0,,2
230000,2021-04-20 00:00:33,黑龙江,1610,0,1597,13,0,0,,,,0,,0,0,,0
330000,2021-04-20 00:00:34,浙江,1328,0,1320,1,0,0,,,,0,,0,0,,0
130000,2021-04-20 00:00:33,河北,1317,0,1310,7,0,0,,,,0,,0,0,,0
410000,2021-04-20 00:00:33,河南,1312,0,1285,22,0,0,,,,0,,0,0,,0
700000,2021-04-20 09:05:42,台湾,1076,0,1034,11,0,0,,,,3,,1,0,,2
110000,2021-04-20 00:00:34,北京,1057,0,1038,9,0,0,463.0,0.0,453.0,0,,0,0,,0
430000,2021-04-20 00:00:34,湖南,1044,0,1036,4,0,0,,,,0,,0,0,,0
340000,2021-04-20 00:00:33,安徽,994,0,988,6,0,0,,,,0,,0,0,,0
650000,2021-04-20 00:00:34,新疆,980,0,977,3,0,0,,,,0,,0,0,,0
510000,2021-04-20 08:50:42,四川,964,0,944,3,0,0,,,,1,,2,0,,-1
360000,2021-04-20 00:00:33,江西,937,0,936,1,0,0,,,,0,,0,0,,0
370000,2021-04-20 00:00:34,山东,876,0,862,7,0,0,,,,0,,0,0,,0
320000,2021-04-20 00:00:34,江苏,716,0,708,0,0,0,,,,0,,0,0,,0
500000,2021-04-20 00:00:34,重庆,591,0,585,6,0,0,,,,0,,0,0,,0
610000,2021-04-20 00:05:33,陕西,586,0,565,3,0,0,,,,0,,0,0,,0
350000,2021-04-20 00:00:34,福建,584,0,557,1,0,0,,,,0,,0,0,,0
220000,2021-04-20 00:00:33,吉林,573,0,570,3,0,0,,,,0,,0,0,,0
210000,2021-04-20 00:00:34,辽宁,408,0,405,2,0,0,,,,0,,0,0,,0
120000,2021-04-20 00:05:33,天津,380,0,370,3,0,0,,,,0,,0,0,,0
150000,2021-04-20 00:00:34,内蒙古,379,0,375,1,0,0,,,,0,,0,0,,0
530000,2021-04-20 08:50:43,云南,331,0,253,2,0,0,,,,1,,5,0,,-4
450000,2021-04-20 00:00:34,广西,270,0,265,2,0,0,,,,0,,0,0,,0
140000,2021-04-20 09:25:47,山西,249,0,241,0,0,0,,,,0,,1,0,,-1
620000,2021-04-20 00:00:34,甘肃,193,0,190,2,0,0,,,,0,,0,0,,0
460000,2021-04-20 00:05:32,海南,175,0,165,6,0,0,,,,0,,0,0,,0
520000,2021-04-20 00:00:34,贵州,147,0,145,2,0,0,,,,0,,0,0,,0
640000,2021-04-20 00:00:33,宁夏,75,0,75,0,0,0,,,,0,,0,0,,0
820000,2021-04-20 00:00:33,澳门,49,0,48,0,0,0,,,,0,,0,0,,0
630000,2021-04-20 00:00:33,青海,18,0,18,0,0,0,,,,0,,0,0,,0
540000,2021-04-20 00:00:33,西藏,1,0,1,0,0,0,,,,0,,0,0,,0
