id,lastUpdateTime,name,total_confirm,total_suspect,total_heal,total_dead,total_severe,total_input,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm,today_input
9577772,2021-04-29 08:50:10,突尼斯,305313,0,255870,10563,0,0.0,1729.0,,2812.0,119.0,,,
9507896,2021-04-29 08:50:11,塞尔维亚,685937,0,0,6312,0,0.0,2138.0,,0.0,0.0,,,
0,2021-04-29 08:50:07,中国,103562,0,98173,4857,0,5644.0,33.0,,26.0,0.0,,7.0,20.0
1,2021-04-29 08:50:10,日本本土,580666,0,508262,10052,0,0.0,3796.0,,0.0,0.0,,,
2,2021-04-29 08:50:10,泰国,61699,0,26873,178,0,0.0,2011.0,,0.0,0.0,,,
3,2021-04-29 08:50:11,新加坡,61086,0,60718,30,0,0.0,23.0,,14.0,0.0,,,
4,2021-04-29 11:05:06,韩国,121351,0,110787,1825,0,0.0,678.0,,539.0,4.0,,,
5,2021-04-29 13:10:19,澳大利亚,29773,0,23271,910,0,0.0,24.0,,4.0,0.0,,,
6,2021-04-29 11:55:11,德国,3366827,0,2966590,82588,0,0.0,24331.0,,5650.0,262.0,,,
7,2021-04-29 09:50:09,美国,32983695,0,25584747,588337,0,0.0,56604.0,,62834.0,953.0,,,
8,2021-04-29 08:50:10,马来西亚,401593,0,373397,1477,0,0.0,3142.0,,0.0,0.0,,,
9,2021-04-29 08:50:10,越南,2865,0,2516,35,0,0.0,8.0,,0.0,0.0,,,
89566,2020-06-12 17:03:12,圣巴泰勒米,6,0,6,0,0,,,,,,,,
821,2021-04-29 08:50:10,肯尼亚,158326,0,107882,2688,0,0.0,834.0,,1046.0,23.0,,,
826,2021-04-29 08:50:10,伊朗,2459906,0,1923081,70966,0,0.0,21713.0,,0.0,0.0,,,
827,2021-04-29 08:50:10,以色列,838323,0,830374,6361,0,0.0,38.0,,101.0,0.0,,,
828,2020-06-09 19:59:04,毛利亚尼亚,16,0,6,2,0,,,,,,,,
