id,lastUpdateTime,name,total_confirm,total_suspect,total_heal,total_dead,total_severe,total_input,total_newConfirm,total_newDead,total_newHeal,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm
420000,2021-02-10 00:00:33,湖北,68150,0,63638,4512,0,0,,,,0,,0,0,,0
810000,2021-02-10 09:25:43,香港,10693,0,9976,188,0,0,,,,26,,58,2,,-34
440000,2021-02-10 09:15:45,广东,2151,0,2094,8,0,0,,,,0,,3,0,,-3
310000,2021-02-10 09:15:44,上海,1747,0,1619,7,0,0,,,,6,,4,0,,2
230000,2021-02-10 09:15:44,黑龙江,1609,0,1323,13,0,0,,,,0,,43,0,,-43
330000,2021-02-10 09:25:43,浙江,1320,0,1305,1,0,0,,,,3,,0,0,,3
130000,2021-02-10 09:15:44,河北,1316,0,1119,7,0,0,,,,0,,0,0,,0
410000,2021-02-10 00:00:33,河南,1303,0,1281,22,0,0,,,,0,,0,0,,0
110000,2021-02-10 08:20:42,北京,1046,0,994,9,0,0,452.0,0.0,409.0,0,,3,0,,-3
430000,2021-02-10 09:15:45,湖南,1033,0,1020,4,0,0,,,,0,,2,0,,-2
340000,2021-02-10 00:00:33,安徽,994,0,988,6,0,0,,,,0,,0,0,,0
650000,2021-02-10 00:00:33,新疆,980,0,977,3,0,0,,,,0,,0,0,,0
360000,2021-02-10 00:00:33,江西,935,0,934,1,0,0,,,,0,,0,0,,0
700000,2021-02-10 09:25:43,台湾,933,0,850,9,0,0,,,,5,,2,0,,3
510000,2021-02-10 09:15:45,四川,875,0,862,3,0,0,,,,1,,0,0,,1
370000,2021-02-10 09:15:45,山东,867,0,858,7,0,0,,,,0,,0,0,,0
320000,2021-02-10 09:15:45,江苏,703,0,688,0,0,0,,,,1,,0,0,,1
500000,2021-02-10 00:00:33,重庆,591,0,585,6,0,0,,,,0,,0,0,,0
220000,2021-02-10 09:15:44,吉林,573,0,389,3,0,0,,,,0,,37,0,,-37
350000,2021-02-10 10:25:44,福建,547,0,530,1,0,0,,,,1,,0,0,,1
610000,2021-02-10 09:45:44,陕西,543,0,524,3,0,0,,,,1,,5,0,,-4
210000,2021-02-10 08:20:42,辽宁,402,0,395,2,0,0,,,,0,,1,0,,-1
150000,2021-02-10 09:15:45,内蒙古,366,0,365,1,0,0,,,,0,,3,0,,-3
120000,2021-02-10 09:15:44,天津,347,0,328,3,0,0,,,,1,,0,0,,1
450000,2021-02-10 00:00:33,广西,267,0,264,2,0,0,,,,0,,0,0,,0
140000,2021-02-10 09:15:45,山西,239,0,230,0,0,0,,,,0,,1,0,,-1
530000,2021-02-10 00:00:33,云南,231,0,228,2,0,0,,,,0,,0,0,,0
620000,2021-02-10 00:00:33,甘肃,187,0,185,2,0,0,,,,0,,0,0,,0
460000,2021-02-10 00:00:33,海南,171,0,165,6,0,0,,,,0,,0,0,,0
520000,2021-02-10 00:00:33,贵州,147,0,145,2,0,0,,,,0,,0,0,,0
640000,2021-02-10 00:00:33,宁夏,75,0,75,0,0,0,,,,0,,0,0,,0
820000,2021-02-10 00:00:33,澳门,48,0,46,0,0,0,,,,0,,0,0,,0
630000,2021-02-10 00:00:33,青海,18,0,18,0,0,0,,,,0,,0,0,,0
540000,2021-02-10 00:00:33,西藏,1,0,1,0,0,0,,,,0,,0,0,,0
