id,lastUpdateTime,name,total_confirm,total_suspect,total_heal,total_dead,total_severe,total_input,total_newConfirm,total_newDead,total_newHeal,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm
420000,2021-04-08 09:04:50,湖北,68153,0,63639,4512,0,0,,,,0,,0,0,,0
810000,2021-04-08 09:24:54,香港,11539,0,11163,205,0,0,,,,8,,8,0,,0
440000,2021-04-08 09:04:50,广东,2291,0,2242,8,0,0,,,,1,,0,0,,1
310000,2021-04-08 09:04:50,上海,1913,0,1860,7,0,0,,,,9,,2,0,,7
230000,2021-04-08 09:04:49,黑龙江,1610,0,1597,13,0,0,,,,0,,0,0,,0
330000,2021-04-08 09:04:50,浙江,1324,0,1320,1,0,0,,,,0,,0,0,,0
130000,2021-04-08 09:04:50,河北,1317,0,1310,7,0,0,,,,0,,0,0,,0
410000,2021-04-08 09:04:50,河南,1311,0,1283,22,0,0,,,,0,,0,0,,0
110000,2021-04-08 09:04:50,北京,1053,0,1038,9,0,0,459.0,0.0,453.0,0,,0,0,,0
700000,2021-04-08 09:04:50,台湾,1050,0,1007,10,0,0,,,,0,,3,0,,-3
430000,2021-04-08 09:04:51,湖南,1043,0,1033,4,0,0,,,,0,,0,0,,0
340000,2021-04-08 09:04:50,安徽,994,0,988,6,0,0,,,,0,,0,0,,0
650000,2021-04-08 09:04:50,新疆,980,0,977,3,0,0,,,,0,,0,0,,0
510000,2021-04-08 09:04:50,四川,954,0,933,3,0,0,,,,0,,2,0,,-2
360000,2021-04-08 09:04:50,江西,937,0,936,1,0,0,,,,0,,0,0,,0
370000,2021-04-08 09:04:51,山东,871,0,862,7,0,0,,,,0,,0,0,,0
320000,2021-04-08 09:24:53,江苏,716,0,707,0,0,0,,,,1,,1,0,,0
500000,2021-04-08 09:04:50,重庆,591,0,585,6,0,0,,,,0,,0,0,,0
220000,2021-04-08 09:04:50,吉林,573,0,570,3,0,0,,,,0,,0,0,,0
350000,2021-04-08 10:24:52,福建,573,0,554,1,0,0,,,,0,,1,0,,-1
610000,2021-04-08 09:44:55,陕西,573,0,560,3,0,0,,,,1,,1,0,,0
210000,2021-04-08 09:04:50,辽宁,407,0,405,2,0,0,,,,0,,0,0,,0
150000,2021-04-08 09:04:51,内蒙古,377,0,370,1,0,0,,,,1,,0,0,,1
120000,2021-04-08 09:04:50,天津,375,0,366,3,0,0,,,,0,,2,0,,-2
530000,2021-04-08 09:04:50,云南,312,0,231,2,0,0,,,,11,,0,0,,11
450000,2021-04-08 09:04:50,广西,267,0,265,2,0,0,,,,0,,0,0,,0
140000,2021-04-08 09:04:50,山西,245,0,240,0,0,0,,,,0,,0,0,,0
620000,2021-04-08 09:04:50,甘肃,193,0,189,2,0,0,,,,0,,0,0,,0
460000,2021-04-08 09:04:50,海南,171,0,165,6,0,0,,,,0,,0,0,,0
520000,2021-04-08 09:04:50,贵州,147,0,145,2,0,0,,,,0,,0,0,,0
640000,2021-04-08 09:04:50,宁夏,75,0,75,0,0,0,,,,0,,0,0,,0
820000,2021-04-08 09:24:53,澳门,49,0,48,0,0,0,,,,1,,0,0,,1
630000,2021-04-08 09:04:50,青海,18,0,18,0,0,0,,,,0,,0,0,,0
540000,2021-04-08 09:04:49,西藏,1,0,1,0,0,0,,,,0,,0,0,,0
