id,lastUpdateTime,name,total_confirm,total_suspect,total_heal,total_dead,total_severe,total_input,total_newConfirm,total_newDead,total_newHeal,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm
420000,2021-05-23 08:35:47,湖北,68159,0,63645,4512,0,0,,,,0,,0,0,,0
810000,2021-05-23 09:20:45,香港,11830,0,11550,210,0,0,,,,1,,3,0,,-2
700000,2021-05-23 09:20:44,台湾,3862,0,1133,17,0,0,,,,723,,0,2,,721
440000,2021-05-23 08:35:46,广东,2409,0,2357,8,0,0,,,,3,,2,0,,1
310000,2021-05-23 08:35:46,上海,2066,0,1996,7,0,0,,,,4,,1,0,,3
230000,2021-05-23 00:00:33,黑龙江,1611,0,1597,13,0,0,,,,0,,0,0,,0
330000,2021-05-23 09:20:45,浙江,1362,0,1323,1,0,0,,,,1,,0,0,,1
130000,2021-05-23 00:00:33,河北,1317,0,1310,7,0,0,,,,0,,0,0,,0
410000,2021-05-23 00:00:33,河南,1314,0,1289,22,0,0,,,,0,,0,0,,0
110000,2021-05-23 08:35:46,北京,1058,0,1046,9,0,0,464.0,0.0,461.0,1,,0,0,,1
430000,2021-05-23 09:20:45,湖南,1049,0,1039,4,0,0,,,,0,,1,0,,-1
510000,2021-05-23 08:35:46,四川,1012,0,979,3,0,0,,,,4,,0,0,,4
340000,2021-05-23 00:00:33,安徽,1002,0,989,6,0,0,,,,1,,0,0,,1
650000,2021-05-23 00:00:33,新疆,980,0,977,3,0,0,,,,0,,0,0,,0
360000,2021-05-23 00:00:33,江西,937,0,936,1,0,0,,,,0,,0,0,,0
370000,2021-05-23 00:00:34,山东,883,0,872,7,0,0,,,,0,,0,0,,0
320000,2021-05-23 00:00:33,江苏,722,0,713,0,0,0,,,,0,,0,0,,0
350000,2021-05-23 09:30:46,福建,612,0,583,1,0,0,,,,2,,0,0,,2
610000,2021-05-23 08:35:46,陕西,609,0,592,3,0,0,,,,0,,0,0,,0
500000,2021-05-23 00:00:33,重庆,598,0,586,6,0,0,,,,0,,0,0,,0
220000,2021-05-23 00:00:33,吉林,573,0,570,3,0,0,,,,0,,0,0,,0
210000,2021-05-23 08:35:46,辽宁,425,0,406,2,0,0,,,,1,,0,0,,1
120000,2021-05-23 08:35:46,天津,390,0,379,3,0,0,,,,1,,0,0,,1
150000,2021-05-23 00:00:34,内蒙古,384,0,380,1,0,0,,,,0,,0,0,,0
530000,2021-05-23 08:35:46,云南,352,0,325,2,0,0,,,,1,,1,0,,0
450000,2021-05-23 00:00:34,广西,275,0,267,2,0,0,,,,0,,0,0,,0
140000,2021-05-23 08:35:46,山西,251,0,247,0,0,0,,,,0,,0,0,,0
620000,2021-05-23 00:00:33,甘肃,193,0,191,2,0,0,,,,0,,0,0,,0
460000,2021-05-23 00:00:33,海南,188,0,176,6,0,0,,,,0,,0,0,,0
520000,2021-05-23 00:00:34,贵州,147,0,145,2,0,0,,,,0,,0,0,,0
640000,2021-05-23 00:00:33,宁夏,76,0,75,0,0,0,,,,0,,0,0,,0
820000,2021-05-23 00:00:33,澳门,50,0,49,0,0,0,,,,0,,0,0,,0
630000,2021-05-23 00:00:33,青海,18,0,18,0,0,0,,,,0,,0,0,,0
540000,2021-05-23 00:00:33,西藏,1,0,1,0,0,0,,,,0,,0,0,,0
