id,lastUpdateTime,name,total_confirm,total_suspect,total_heal,total_dead,total_severe,total_input,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm,today_input
9577772,2021-04-13 08:47:19,突尼斯,272940,0,226070,9332,0,0.0,1079.0,,1163.0,39.0,,,
9507896,2021-04-13 23:02:34,塞尔维亚,648745,0,0,5808,0,0.0,3572.0,,0.0,35.0,,,
0,2021-04-13 17:12:30,中国,103153,0,97805,4854,0,5443.0,27.0,,34.0,0.0,,6.0,8.0
1,2021-04-13 23:02:33,日本本土,511799,0,468614,9422,0,0.0,3472.0,,2993.0,30.0,,,
2,2021-04-13 17:22:33,泰国,34575,0,26873,97,0,0.0,965.0,,0.0,0.0,,,
3,2021-04-13 17:22:34,新加坡,60692,0,60357,30,0,0.0,14.0,,22.0,0.0,,,
4,2021-04-13 11:12:25,韩国,110688,0,101332,1775,0,0.0,542.0,,528.0,5.0,,,
5,2021-04-13 14:02:28,澳大利亚,29437,0,23087,910,0,0.0,18.0,,2.0,1.0,,,
6,2021-04-13 23:02:33,德国,3031986,0,2709720,78853,0,0.0,10048.0,,17490.0,353.0,,,
7,2021-04-13 10:07:21,美国,31990143,0,24560856,576298,0,0.0,56522.0,,80334.0,469.0,,,
8,2021-04-13 18:42:31,马来西亚,363940,0,346295,1345,0,0.0,1767.0,,1290.0,12.0,,,
9,2021-04-13 23:02:34,越南,2714,0,2445,35,0,0.0,9.0,,0.0,0.0,,,
89566,2020-06-12 17:03:12,圣巴泰勒米,6,0,6,0,0,,,,,,,,
821,2021-04-13 08:47:19,肯尼亚,146156,0,99210,2368,0,0.0,486.0,,115.0,20.0,,,
826,2021-04-13 21:17:33,伊朗,2118212,0,1729293,65055,0,0.0,24760.0,,9209.0,291.0,,,
827,2021-04-13 16:17:36,以色列,836261,0,826588,6304,0,0.0,189.0,,299.0,5.0,,,
828,2020-06-09 19:59:04,毛利亚尼亚,16,0,6,2,0,,,,,,,,
829,2021-04-13 08:47:19,黎巴嫩,497854,0,406095,6703,0,0.0,1008.0,,3923.0,42.0,,,
833,2021-04-13 18:42:31,克罗地亚,294874,0,276420,6358,0,0.0,1936.0,,1659.0,25.0,,,
834,2021-04-13 17:52:42,奥地利,581263,0,541786,9748,0,0.0,2313.0,,3177.0,42.0,,,
835,2021-04-13 21:17:32,瑞士,625367,0,317600,10469,0,0.0,2241.0,,0.0,12.0,,,
839,2021-04-13 08:47:19,希腊,297086,0,93764,8961,0,0.0,1606.0,,0.0,76.0,,,
95800,2021-04-13 17:22:34,毛里求斯,1197,0,797,15,0,0.0,4.0,,0.0,2.0,,,
845,2021-04-13 17:22:34,爱沙尼亚,115080,0,96844,1049,0,0.0,637.0,,1598.0,12.0,,,
846,2021-04-13 08:47:19,北马其顿,142034,0,117794,4262,0,0.0,190.0,,1014.0,34.0,,,
850,2021-04-13 22:12:32,白俄罗斯,337635,0,327848,2373,0,0.0,754.0,,761.0,10.0,,,
