id,lastUpdateTime,name,total_confirm,total_suspect,total_heal,total_dead,total_severe,total_input,total_newConfirm,total_newDead,total_newHeal,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm
420000,2021-04-28 00:04:33,湖北,68157,0,63640,4512,0,0,,,,0,,0,0,,0
810000,2021-04-28 09:04:40,香港,11748,0,11379,209,0,0,,,,8,,16,0,,-8
440000,2021-04-28 08:54:40,广东,2334,0,2282,8,0,0,,,,3,,1,0,,2
310000,2021-04-28 08:54:39,上海,1972,0,1903,7,0,0,,,,2,,3,0,,-1
230000,2021-04-28 00:04:32,黑龙江,1610,0,1597,13,0,0,,,,0,,0,0,,0
330000,2021-04-28 08:54:39,浙江,1332,0,1320,1,0,0,,,,0,,0,0,,0
130000,2021-04-28 00:04:32,河北,1317,0,1310,7,0,0,,,,0,,0,0,,0
410000,2021-04-28 09:14:38,河南,1312,0,1286,22,0,0,,,,0,,1,0,,-1
700000,2021-04-28 09:04:39,台湾,1110,0,1050,12,0,0,,,,6,,4,0,,2
110000,2021-04-28 00:04:33,北京,1057,0,1039,9,0,0,463.0,0.0,454.0,0,,0,0,,0
430000,2021-04-28 00:04:33,湖南,1044,0,1037,4,0,0,,,,0,,0,0,,0
340000,2021-04-28 00:04:32,安徽,994,0,988,6,0,0,,,,0,,0,0,,0
650000,2021-04-28 00:04:32,新疆,980,0,977,3,0,0,,,,0,,0,0,,0
510000,2021-04-28 08:54:39,四川,978,0,951,3,0,0,,,,3,,2,0,,1
360000,2021-04-28 00:04:32,江西,937,0,936,1,0,0,,,,0,,0,0,,0
370000,2021-04-28 00:04:33,山东,876,0,864,7,0,0,,,,0,,0,0,,0
320000,2021-04-28 00:04:33,江苏,718,0,709,0,0,0,,,,0,,0,0,,0
500000,2021-04-28 08:04:39,重庆,596,0,585,6,0,0,,,,1,,0,0,,1
350000,2021-04-28 09:29:40,福建,590,0,563,1,0,0,,,,0,,1,0,,-1
610000,2021-04-28 14:49:52,陕西,590,0,570,3,0,0,,,,1,,1,0,,0
220000,2021-04-28 00:04:32,吉林,573,0,570,3,0,0,,,,0,,0,0,,0
210000,2021-04-28 00:04:33,辽宁,408,0,406,2,0,0,,,,0,,0,0,,0
120000,2021-04-28 08:54:39,天津,385,0,373,3,0,0,,,,1,,1,0,,0
150000,2021-04-28 08:54:40,内蒙古,380,0,376,1,0,0,,,,0,,0,0,,0
530000,2021-04-28 08:54:39,云南,342,0,281,2,0,0,,,,1,,1,0,,0
450000,2021-04-28 00:04:33,广西,270,0,265,2,0,0,,,,0,,0,0,,0
140000,2021-04-28 08:54:39,山西,249,0,243,0,0,0,,,,0,,0,0,,0
620000,2021-04-28 00:04:33,甘肃,193,0,190,2,0,0,,,,0,,0,0,,0
460000,2021-04-28 00:04:32,海南,187,0,165,6,0,0,,,,0,,0,0,,0
520000,2021-04-28 00:04:33,贵州,147,0,145,2,0,0,,,,0,,0,0,,0
640000,2021-04-28 00:04:32,宁夏,75,0,75,0,0,0,,,,0,,0,0,,0
820000,2021-04-28 00:04:32,澳门,49,0,49,0,0,0,,,,0,,0,0,,0
630000,2021-04-28 00:04:32,青海,18,0,18,0,0,0,,,,0,,0,0,,0
540000,2021-04-28 00:04:32,西藏,1,0,1,0,0,0,,,,0,,0,0,,0
