city_name,province_name,value
黄冈市,湖北省,21.48
孝感市,湖北省,15.52
荆州市,湖北省,7.19
咸宁市,湖北省,7.07
恩施土家族苗族自治州,湖北省,6.9
宜昌市,湖北省,5.32
十堰市,湖北省,4.02
鄂州市,湖北省,3.97
襄阳市,湖北省,3.47
仙桃市,湖北省,3.36
黄石市,湖北省,2.94
荆门市,湖北省,2.88
随州市,湖北省,2.34
天门市,湖北省,2.2
潜江市,湖北省,1.15
长沙市,湖南省,0.6
深圳市,广东省,0.4
岳阳市,湖南省,0.36
郑州市,河南省,0.35
九江市,江西省,0.29
南京市,江苏省,0.26
南昌市,江西省,0.26
南阳市,河南省,0.26
北京市,北京市,0.25
上海市,上海市,0.25
芜湖市,安徽省,0.22
广州市,广东省,0.21
株洲市,湖南省,0.2
重庆市,重庆市,0.19
信阳市,河南省,0.19
成都市,四川省,0.18
驻马店市,河南省,0.17
东莞市,广东省,0.17
安庆市,安徽省,0.17
保定市,河北省,0.12
天津市,天津市,0.12
阜阳市,安徽省,0.12
福州市,福建省,0.12
合肥市,安徽省,0.11
金华市,浙江省,0.11
杭州市,浙江省,0.11
衡阳市,湖南省,0.1
苏州市,江苏省,0.1
周口市,河南省,0.1
潍坊市,山东省,0.09
西安市,陕西省,0.09
嘉兴市,浙江省,0.09
宁波市,浙江省,0.08
三门峡市,河南省,0.06
扬州市,江苏省,0.06
湘潭市,湖南省,0.06
中山市,广东省,0.06
青岛市,山东省,0.06
韶关市,广东省,0.05
佛山市,广东省,0.05
北海市,广西壮族自治区,0.05
邵阳市,湖南省,0.05
南宁市,广西壮族自治区,0.05
惠州市,广东省,0.05
聊城市,山东省,0.05
邯郸市,河北省,0.05
漯河市,河南省,0.05
洛阳市,河南省,0.04
济南市,山东省,0.04
温州市,浙江省,0.04
昆明市,云南省,0.04
南通市,江苏省,0.04
六安市,安徽省,0.04
开封市,河南省,0.04
沈阳市,辽宁省,0.04
怀化市,湖南省,0.04
娄底市,湖南省,0.04
常州市,江苏省,0.04
常德市,湖南省,0.03
新乡市,河南省,0.03
哈尔滨市,黑龙江省,0.03
厦门市,福建省,0.03
永州市,湖南省,0.03
临沂市,山东省,0.03
吉安市,江西省,0.03
桂林市,广西壮族自治区,0.03
赤峰市,内蒙古自治区,0.03
湖州市,浙江省,0.03
大连市,辽宁省,0.03
神农架林区,湖北省,0.03
秦皇岛市,河北省,0.03
德州市,山东省,0.03
宣城市,安徽省,0.03
锡林郭勒盟,内蒙古自治区,0.03
廊坊市,河北省,0.03
黔南布依族苗族自治州,贵州省,0.03
无锡市,江苏省,0.03
楚雄彝族自治州,云南省,0.03
徐州市,江苏省,0.03
滁州市,安徽省,0.03
郴州市,湖南省,0.02
枣庄市,山东省,0.02
连云港市,江苏省,0.02
宿州市,安徽省,0.02
上饶市,江西省,0.02
