id,lastUpdateTime,name,total_confirm,total_suspect,total_heal,total_dead,total_severe,total_input,total_newConfirm,total_newDead,total_newHeal,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm
420000,2021-04-29 09:10:09,湖北,68158,0,63640,4512,0,0,,,,1,,0,0,,1
810000,2021-04-29 08:50:08,香港,11755,0,11392,209,0,0,,,,7,,13,0,,-6
440000,2021-04-29 08:50:08,广东,2335,0,2283,8,0,0,,,,1,,1,0,,0
310000,2021-04-29 08:50:07,上海,1977,0,1906,7,0,0,,,,5,,3,0,,2
230000,2021-04-29 00:00:03,黑龙江,1610,0,1597,13,0,0,,,,0,,0,0,,0
330000,2021-04-29 12:00:13,浙江,1343,0,1320,1,0,0,,,,11,,0,0,,11
130000,2021-04-29 00:00:03,河北,1317,0,1310,7,0,0,,,,0,,0,0,,0
410000,2021-04-29 08:50:07,河南,1312,0,1287,22,0,0,,,,0,,1,0,,-1
700000,2021-04-29 08:50:07,台湾,1116,0,1050,12,0,0,,,,6,,0,0,,6
110000,2021-04-29 00:00:04,北京,1057,0,1039,9,0,0,463.0,0.0,454.0,0,,0,0,,0
430000,2021-04-29 00:00:04,湖南,1044,0,1037,4,0,0,,,,0,,0,0,,0
340000,2021-04-29 00:00:04,安徽,994,0,988,6,0,0,,,,0,,0,0,,0
650000,2021-04-29 00:00:04,新疆,980,0,977,3,0,0,,,,0,,0,0,,0
510000,2021-04-29 08:50:08,四川,979,0,951,3,0,0,,,,1,,0,0,,1
360000,2021-04-29 00:00:03,江西,937,0,936,1,0,0,,,,0,,0,0,,0
370000,2021-04-29 08:50:08,山东,876,0,865,7,0,0,,,,0,,1,0,,-1
320000,2021-04-29 00:00:04,江苏,718,0,709,0,0,0,,,,0,,0,0,,0
500000,2021-04-29 08:50:08,重庆,596,0,585,6,0,0,,,,0,,0,0,,0
350000,2021-04-29 08:50:08,福建,590,0,563,1,0,0,,,,0,,0,0,,0
610000,2021-04-29 08:50:08,陕西,590,0,570,3,0,0,,,,0,,0,0,,0
220000,2021-04-29 00:00:03,吉林,573,0,570,3,0,0,,,,0,,0,0,,0
210000,2021-04-29 00:00:04,辽宁,408,0,406,2,0,0,,,,0,,0,0,,0
120000,2021-04-29 08:50:07,天津,385,0,374,3,0,0,,,,0,,1,0,,-1
150000,2021-04-29 00:00:04,内蒙古,380,0,376,1,0,0,,,,0,,0,0,,0
530000,2021-04-29 08:50:08,云南,342,0,285,2,0,0,,,,0,,4,0,,-4
450000,2021-04-29 08:50:08,广西,270,0,266,2,0,0,,,,0,,1,0,,-1
140000,2021-04-29 09:10:09,山西,250,0,243,0,0,0,,,,1,,0,0,,1
620000,2021-04-29 00:00:04,甘肃,193,0,190,2,0,0,,,,0,,0,0,,0
460000,2021-04-29 00:00:03,海南,187,0,165,6,0,0,,,,0,,0,0,,0
520000,2021-04-29 00:00:04,贵州,147,0,145,2,0,0,,,,0,,0,0,,0
640000,2021-04-29 00:00:04,宁夏,75,0,75,0,0,0,,,,0,,0,0,,0
820000,2021-04-29 00:00:03,澳门,49,0,49,0,0,0,,,,0,,0,0,,0
630000,2021-04-29 00:00:03,青海,18,0,18,0,0,0,,,,0,,0,0,,0
540000,2021-04-29 00:00:03,西藏,1,0,1,0,0,0,,,,0,,0,0,,0
