date,total_confirm,total_suspect,total_heal,total_dead,total_severe,total_input,total_storeConfirm,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm,today_input
2020-04-15,1934291,0,0,0,,0,0,75936,0,0,0,,0,0
2020-04-16,2017483,0,0,0,,0,0,82740,0,0,0,,0,0
2020-04-17,2098707,0,0,0,,0,0,85816,0,0,0,,0,0
2020-04-18,2190113,0,0,0,,0,0,85709,0,0,0,,0,0
2020-04-19,2271717,0,0,0,,0,0,79164,0,0,0,,0,0
2020-04-20,2339647,0,0,0,,0,0,70814,0,0,0,,0,0
2020-04-21,2416345,0,0,0,,0,0,74333,0,0,0,,0,0
2020-04-22,2509897,0,0,0,,0,0,86197,0,0,0,,0,0
2020-04-23,2574719,0,0,0,,0,0,78989,0,0,0,,0,0
2020-04-24,2659664,0,0,0,,0,0,96599,0,0,0,,0,0
2020-04-25,2756365,0,0,0,,0,0,96968,0,0,0,,0,0
2020-04-26,2835787,0,0,0,,0,0,71399,0,0,0,,0,0
2020-04-27,2908094,0,0,0,,0,0,69546,0,0,0,,0,0
2020-04-28,2980553,0,0,0,,0,0,73895,0,0,0,,0,0
2020-04-29,3059873,0,0,0,,0,0,82600,0,0,0,,0,0
2020-04-30,3141226,0,0,0,,0,0,83860,0,0,0,,0,0
2020-05-01,3240690,0,0,0,,0,0,86783,0,0,0,,0,0
2020-05-02,3339282,0,0,0,,0,0,90049,0,0,0,,0,0
2020-05-03,3395941,0,0,0,,0,0,57911,0,0,0,,0,0
2020-05-04,3506189,0,0,0,,0,0,106412,0,0,0,,0,0
2020-05-05,3588157,0,0,0,,0,0,80972,0,0,0,,0,0
2020-05-06,3668152,0,0,0,,0,0,82916,0,0,0,,0,0
2020-05-07,3763009,0,0,0,,0,0,98929,0,0,0,,0,0
2020-05-08,3860594,0,0,0,,0,0,97216,0,0,0,,0,0
2020-05-09,3958892,0,0,0,,0,0,94660,0,0,0,,0,0
2020-05-10,4044639,0,0,0,,0,0,80552,0,0,0,,0,0
2020-05-11,4127234,0,0,0,,0,0,80462,0,0,0,,0,0
2020-05-12,4205093,0,0,0,,0,0,81225,0,0,0,,0,0
2020-05-13,4289731,0,0,0,,0,0,83547,0,0,0,,0,0
2020-05-14,4379103,0,0,0,,0,0,94906,0,0,0,,0,0
2020-05-15,4477725,0,0,0,,0,0,98069,0,0,0,,0,0
2020-05-16,4573159,0,0,0,,0,0,92230,0,0,0,,0,0
2020-05-17,4663087,0,0,0,,0,0,86331,0,0,0,,0,0
2020-05-18,4746857,0,0,0,,0,0,86509,0,0,0,,0,0
2020-05-19,4836178,0,0,0,,0,0,86980,0,0,0,,0,0
2020-05-20,4929628,0,0,0,,0,0,94569,0,0,0,,0,0
2020-05-21,5032360,0,0,0,,0,0,108771,0,0,0,,0,0
2020-05-22,5132438,0,0,0,,0,0,96101,0,0,0,,0,0
2020-05-23,5253256,0,0,0,,0,0,118665,0,0,0,,0,0
2020-05-24,5345699,0,0,0,,0,0,90202,0,0,0,,0,0
2020-05-25,5448370,0,0,0,,0,0,102853,0,0,0,,0,0
2020-05-26,5531463,0,0,0,,0,0,82834,0,0,0,,0,0
2020-05-27,5627372,0,0,0,,0,0,97778,0,0,0,,0,0
2020-05-28,5733681,0,0,0,,0,0,108439,0,0,0,,0,0
2020-05-29,5854300,0,0,0,,0,0,123030,0,0,0,,0,0
2020-05-30,5972350,0,0,0,,0,0,116271,0,0,0,,0,0
2020-05-31,6108396,0,0,0,,0,0,133106,0,0,0,,0,0
2020-06-01,6210041,0,0,0,,0,0,103448,0,0,0,,0,0
2020-06-02,6315311,0,0,0,,0,0,104999,0,0,0,,0,0
2020-06-03,6386214,0,0,0,,0,0,69599,0,0,0,,0,0
2020-06-04,6556454,0,0,0,,0,0,171930,0,0,0,,0,0
2020-06-05,6689166,0,0,0,,0,0,135837,0,0,0,,0,0
2020-06-06,6833081,0,0,0,,0,0,125094,0,0,0,,0,0
2020-06-07,6966334,0,0,0,,0,0,129322,0,0,0,,0,0
2020-06-08,7072988,0,0,0,,0,0,106793,0,0,0,,0,0
