id,lastUpdateTime,name,total_confirm,total_suspect,total_heal,total_dead,total_severe,total_input,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm,today_input
9577772,2021-04-10 05:00:50,突尼斯,268837,0,223391,9179,0,0.0,1833.0,,0.0,0.0,,,
9507896,2021-04-10 00:00:45,塞尔维亚,636418,0,0,5659,0,0.0,3405.0,,0.0,0.0,,,
0,2021-04-10 07:40:48,中国,103053,0,97725,4853,0,5398.0,35.0,,40.0,2.0,,7.0,13.0
1,2021-04-10 00:00:45,日本本土,499763,0,458684,9325,0,0.0,3454.0,,0.0,0.0,,,
2,2021-04-10 00:00:45,泰国,30869,0,26873,96,0,0.0,559.0,,0.0,0.0,,,
3,2021-04-10 00:50:44,新加坡,60601,0,60304,30,0,0.0,26.0,,0.0,0.0,,,
4,2021-04-10 00:00:45,韩国,108269,0,98786,1764,0,0.0,671.0,,0.0,0.0,,,
5,2021-04-10 00:00:45,澳大利亚,29390,0,23071,909,0,0.0,5.0,,0.0,0.0,,,
6,2021-04-10 07:15:49,德国,2977299,0,2654930,78165,0,0.0,23054.0,,0.0,0.0,,,
7,2021-04-10 07:10:55,美国,31796502,0,24341899,574764,0,0.0,80161.0,,0.0,0.0,,,
8,2021-04-10 00:00:45,马来西亚,357607,0,341489,1313,0,0.0,1854.0,,0.0,0.0,,,
9,2021-04-10 00:00:45,越南,2683,0,2429,35,0,0.0,15.0,,0.0,0.0,,,
89566,2020-06-12 17:03:12,圣巴泰勒米,6,0,6,0,0,,,,,,,,
821,2021-04-10 03:10:48,肯尼亚,144154,0,98183,2309,0,0.0,1698.0,,0.0,0.0,,,
826,2021-04-10 00:00:45,伊朗,2029412,0,1693005,64039,0,0.0,22478.0,,0.0,0.0,,,
827,2021-04-10 00:40:43,以色列,835674,0,825195,6280,0,0.0,256.0,,0.0,0.0,,,
828,2020-06-09 19:59:04,毛利亚尼亚,16,0,6,2,0,,,,,,,,
829,2021-04-10 03:55:47,黎巴嫩,491928,0,398699,6592,0,0.0,3510.0,,0.0,0.0,,,
