id,lastUpdateTime,name,total_confirm,total_suspect,total_heal,total_dead,total_severe,total_input,total_newConfirm,total_newDead,total_newHeal,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm
420000,2021-05-09 07:39:58,湖北,68158,0,63640,4512,0,0,,,,0,,0,0,,0
810000,2021-05-09 07:55:02,香港,11806,0,11486,210,0,0,,,,5,,13,0,,-8
440000,2021-05-09 09:25:03,广东,2370,0,2307,8,0,0,,,,5,,1,0,,4
310000,2021-05-09 07:59:57,上海,2012,0,1947,7,0,0,,,,6,,4,0,,2
230000,2021-05-09 07:39:58,黑龙江,1610,0,1597,13,0,0,,,,0,,0,0,,0
330000,2021-05-09 07:39:58,浙江,1345,0,1322,1,0,0,,,,0,,0,0,,0
130000,2021-05-09 07:39:58,河北,1317,0,1310,7,0,0,,,,0,,0,0,,0
410000,2021-05-09 07:39:58,河南,1312,0,1289,22,0,0,,,,0,,0,0,,0
700000,2021-05-09 07:55:02,台湾,1183,0,1082,12,0,0,,,,5,,5,0,,0
110000,2021-05-09 07:39:58,北京,1057,0,1046,9,0,0,463.0,0.0,461.0,0,,0,0,,0
430000,2021-05-09 07:39:58,湖南,1045,0,1037,4,0,0,,,,0,,0,0,,0
340000,2021-05-09 07:39:58,安徽,994,0,988,6,0,0,,,,0,,0,0,,0
510000,2021-05-09 07:39:58,四川,992,0,959,3,0,0,,,,0,,0,0,,0
650000,2021-05-09 07:39:58,新疆,980,0,977,3,0,0,,,,0,,0,0,,0
360000,2021-05-09 07:39:58,江西,937,0,936,1,0,0,,,,0,,0,0,,0
370000,2021-05-09 07:39:58,山东,879,0,869,7,0,0,,,,0,,0,0,,0
320000,2021-05-09 07:39:58,江苏,720,0,712,0,0,0,,,,0,,0,0,,0
500000,2021-05-09 07:39:58,重庆,597,0,585,6,0,0,,,,0,,0,0,,0
350000,2021-05-09 07:39:58,福建,595,0,569,1,0,0,,,,0,,0,0,,0
610000,2021-05-09 10:04:59,陕西,592,0,584,3,0,0,,,,0,,1,0,,-1
220000,2021-05-09 07:39:58,吉林,573,0,570,3,0,0,,,,0,,0,0,,0
210000,2021-05-09 07:39:58,辽宁,408,0,406,2,0,0,,,,0,,0,0,,0
120000,2021-05-09 07:39:58,天津,387,0,377,3,0,0,,,,0,,0,0,,0
150000,2021-05-09 07:55:03,内蒙古,382,0,378,1,0,0,,,,0,,1,0,,-1
530000,2021-05-09 07:39:58,云南,347,0,303,2,0,0,,,,0,,4,0,,-4
450000,2021-05-09 09:25:03,广西,275,0,267,2,0,0,,,,0,,1,0,,-1
140000,2021-05-09 07:39:58,山西,251,0,244,0,0,0,,,,0,,0,0,,0
620000,2021-05-09 07:39:58,甘肃,193,0,190,2,0,0,,,,0,,0,0,,0
460000,2021-05-09 07:39:58,海南,188,0,165,6,0,0,,,,0,,0,0,,0
520000,2021-05-09 07:39:58,贵州,147,0,145,2,0,0,,,,0,,0,0,,0
640000,2021-05-09 10:04:59,宁夏,76,0,75,0,0,0,,,,1,,0,0,,1
820000,2021-05-09 07:39:58,澳门,49,0,49,0,0,0,,,,0,,0,0,,0
630000,2021-05-09 07:39:58,青海,18,0,18,0,0,0,,,,0,,0,0,,0
540000,2021-05-09 07:39:58,西藏,1,0,1,0,0,0,,,,0,,0,0,,0
