id,lastUpdateTime,name,total_confirm,total_suspect,total_heal,total_dead,total_severe,total_input,total_newConfirm,total_newDead,total_newHeal,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm
420000,2021-04-22 09:41:51,湖北,68157,0,63640,4512,0,0,,,,1,,0,0,,1
810000,2021-04-22 17:22:00,香港,11718,0,11315,209,0,0,,,,1,,28,0,,-13
440000,2021-04-22 08:41:48,广东,2322,0,2273,8,0,0,,,,2,,1,0,,1
310000,2021-04-22 08:41:47,上海,1950,0,1885,7,0,0,,,,1,,0,0,,1
230000,2021-04-22 00:01:34,黑龙江,1610,0,1597,13,0,0,,,,0,,0,0,,0
330000,2021-04-22 00:01:35,浙江,1329,0,1320,1,0,0,,,,0,,0,0,,0
130000,2021-04-22 00:01:34,河北,1317,0,1310,7,0,0,,,,0,,0,0,,0
410000,2021-04-22 00:01:34,河南,1312,0,1285,22,0,0,,,,0,,0,0,,0
700000,2021-04-22 17:22:00,台湾,1086,0,1041,11,0,0,,,,8,,3,0,,5
110000,2021-04-22 00:01:35,北京,1057,0,1038,9,0,0,463.0,0.0,453.0,0,,0,0,,0
430000,2021-04-22 00:01:35,湖南,1044,0,1036,4,0,0,,,,0,,0,0,,0
340000,2021-04-22 00:01:35,安徽,994,0,988,6,0,0,,,,0,,0,0,,0
650000,2021-04-22 00:01:35,新疆,980,0,977,3,0,0,,,,0,,0,0,,0
510000,2021-04-22 00:01:35,四川,965,0,946,3,0,0,,,,0,,0,0,,0
360000,2021-04-22 00:01:34,江西,937,0,936,1,0,0,,,,0,,0,0,,0
370000,2021-04-22 00:01:35,山东,876,0,862,7,0,0,,,,0,,0,0,,0
320000,2021-04-22 00:01:35,江苏,716,0,708,0,0,0,,,,0,,0,0,,0
500000,2021-04-22 00:01:35,重庆,591,0,585,6,0,0,,,,0,,0,0,,0
610000,2021-04-22 09:41:50,陕西,587,0,568,3,0,0,,,,0,,1,0,,-1
350000,2021-04-22 00:01:35,福建,586,0,559,1,0,0,,,,0,,0,0,,0
220000,2021-04-22 00:01:34,吉林,573,0,570,3,0,0,,,,0,,0,0,,0
210000,2021-04-22 00:01:35,辽宁,408,0,405,2,0,0,,,,0,,0,0,,0
120000,2021-04-22 09:11:49,天津,383,0,370,3,0,0,,,,1,,0,0,,1
150000,2021-04-22 00:01:36,内蒙古,379,0,376,1,0,0,,,,0,,0,0,,0
530000,2021-04-22 08:41:48,云南,334,0,269,2,0,0,,,,1,,5,0,,-4
450000,2021-04-22 00:01:35,广西,270,0,265,2,0,0,,,,0,,0,0,,0
140000,2021-04-22 09:41:51,山西,249,0,242,0,0,0,,,,0,,1,0,,-1
620000,2021-04-22 00:01:35,甘肃,193,0,190,2,0,0,,,,0,,0,0,,0
460000,2021-04-22 00:01:34,海南,187,0,165,6,0,0,,,,0,,0,0,,0
520000,2021-04-22 00:01:35,贵州,147,0,145,2,0,0,,,,0,,0,0,,0
640000,2021-04-22 00:01:35,宁夏,75,0,75,0,0,0,,,,0,,0,0,,0
820000,2021-04-22 00:01:34,澳门,49,0,48,0,0,0,,,,0,,0,0,,0
630000,2021-04-22 00:01:34,青海,18,0,18,0,0,0,,,,0,,0,0,,0
540000,2021-04-22 00:01:34,西藏,1,0,1,0,0,0,,,,0,,0,0,,0
