id,lastUpdateTime,name,total_confirm,total_suspect,total_heal,total_dead,total_severe,total_input,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm,today_input
9577772,2021-04-20 08:50:42,突尼斯,287061,0,236593,9825,0,0.0,1571.0,,1802.0,42.0,,,
9507896,2021-04-20 00:00:30,塞尔维亚,664972,0,0,6026,0,0.0,2604.0,,0.0,0.0,,,
0,2021-04-20 08:50:42,中国,103340,0,97929,4856,0,5524.0,25.0,,19.0,0.0,,6.0,9.0
1,2021-04-20 00:00:30,日本本土,537494,0,482896,9629,0,0.0,4853.0,,0.0,0.0,,,
2,2021-04-20 00:00:30,泰国,43742,0,26873,104,0,0.0,1390.0,,0.0,0.0,,,
3,2021-04-20 08:50:42,新加坡,60851,0,60503,30,0,0.0,20.0,,18.0,0.0,,,
4,2021-04-20 00:00:30,韩国,114646,0,104474,1801,0,0.0,531.0,,0.0,0.0,,,
5,2021-04-20 09:05:40,澳大利亚,29544,0,23172,910,0,0.0,1.0,,8.0,0.0,,,
6,2021-04-20 08:50:41,德国,3161645,0,2797760,80153,0,0.0,6990.0,,2650.0,83.0,,,
7,2021-04-20 08:50:42,美国,32467014,0,25036868,581512,0,0.0,45990.0,,75639.0,451.0,,,
8,2021-04-20 00:00:30,马来西亚,377132,0,355224,1386,0,0.0,2078.0,,0.0,0.0,,,
9,2021-04-20 00:00:30,越南,2791,0,2475,35,0,0.0,10.0,,0.0,0.0,,,
89566,2020-06-12 17:03:12,圣巴泰勒米,6,0,6,0,0,,,,,,,,
821,2021-04-20 08:50:42,肯尼亚,151894,0,102278,2501,0,0.0,241.0,,636.0,20.0,,,
826,2021-04-20 00:00:30,伊朗,2261435,0,1797319,67130,0,0.0,24346.0,,0.0,0.0,,,
827,2021-04-20 08:50:42,以色列,837218,0,828686,6341,0,0.0,19.0,,19.0,1.0,,,
828,2020-06-09 19:59:04,毛利亚尼亚,16,0,6,2,0,,,,,,,,
829,2021-04-20 08:50:42,黎巴嫩,511398,0,429598,6959,0,0.0,995.0,,5750.0,34.0,,,
833,2021-04-20 00:00:30,克罗地亚,308200,0,287787,6601,0,0.0,410.0,,0.0,0.0,,,
834,2021-04-20 00:00:30,奥地利,595540,0,557467,9922,0,0.0,2117.0,,0.0,0.0,,,
