id,lastUpdateTime,name,total_confirm,total_suspect,total_heal,total_dead,total_severe,total_input,total_newConfirm,total_newDead,total_newHeal,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm
420000,2021-04-05 00:03:11,湖北,68152,0,63639,4512,0,0,,,,0,,0,0,,0
810000,2021-04-05 08:43:25,香港,11508,0,11139,205,0,0,,,,7,,6,0,,1
440000,2021-04-05 08:23:25,广东,2287,0,2239,8,0,0,,,,0,,0,0,,0
310000,2021-04-05 08:23:24,上海,1900,0,1846,7,0,0,,,,3,,6,0,,-3
230000,2021-04-05 00:03:11,黑龙江,1610,0,1597,13,0,0,,,,0,,0,0,,0
330000,2021-04-05 09:13:23,浙江,1324,0,1320,1,0,0,,,,1,,0,0,,1
130000,2021-04-05 00:03:11,河北,1317,0,1310,7,0,0,,,,0,,0,0,,0
410000,2021-04-05 00:03:11,河南,1311,0,1283,22,0,0,,,,0,,0,0,,0
110000,2021-04-05 08:23:25,北京,1052,0,1038,9,0,0,458.0,0.0,453.0,1,,0,0,,1
700000,2021-04-05 08:43:25,台湾,1047,0,997,10,0,0,,,,2,,5,0,,-3
430000,2021-04-05 00:03:11,湖南,1043,0,1033,4,0,0,,,,0,,0,0,,0
340000,2021-04-05 00:03:11,安徽,994,0,988,6,0,0,,,,0,,0,0,,0
650000,2021-04-05 00:03:11,新疆,980,0,977,3,0,0,,,,0,,0,0,,0
510000,2021-04-05 08:43:25,四川,952,0,930,3,0,0,,,,3,,0,0,,3
360000,2021-04-05 00:03:11,江西,937,0,936,1,0,0,,,,0,,0,0,,0
370000,2021-04-05 00:03:11,山东,870,0,862,7,0,0,,,,0,,0,0,,0
320000,2021-04-05 09:43:23,江苏,713,0,704,0,0,0,,,,2,,0,0,,2
500000,2021-04-05 00:03:11,重庆,591,0,585,6,0,0,,,,0,,0,0,,0
220000,2021-04-05 00:03:11,吉林,573,0,570,3,0,0,,,,0,,0,0,,0
350000,2021-04-05 09:43:23,福建,572,0,552,1,0,0,,,,1,,0,0,,1
610000,2021-04-05 00:03:11,陕西,568,0,555,3,0,0,,,,0,,0,0,,0
210000,2021-04-05 00:03:11,辽宁,407,0,405,2,0,0,,,,0,,0,0,,0
150000,2021-04-05 08:23:25,内蒙古,376,0,369,1,0,0,,,,1,,0,0,,1
120000,2021-04-05 08:58:29,天津,375,0,362,3,0,0,,,,1,,2,0,,-1
530000,2021-04-05 08:23:25,云南,284,0,231,2,0,0,,,,15,,0,0,,15
450000,2021-04-05 00:03:11,广西,267,0,265,2,0,0,,,,0,,0,0,,0
140000,2021-04-05 00:03:11,山西,241,0,240,0,0,0,,,,0,,0,0,,0
620000,2021-04-05 08:23:24,甘肃,193,0,189,2,0,0,,,,0,,1,0,,-1
460000,2021-04-05 00:03:11,海南,171,0,165,6,0,0,,,,0,,0,0,,0
520000,2021-04-05 00:03:11,贵州,147,0,145,2,0,0,,,,0,,0,0,,0
640000,2021-04-05 00:03:11,宁夏,75,0,75,0,0,0,,,,0,,0,0,,0
820000,2021-04-05 00:03:11,澳门,48,0,48,0,0,0,,,,0,,0,0,,0
630000,2021-04-05 00:03:11,青海,18,0,18,0,0,0,,,,0,,0,0,,0
540000,2021-04-05 00:03:11,西藏,1,0,1,0,0,0,,,,0,,0,0,,0
