id,lastUpdateTime,name,total_confirm,total_suspect,total_heal,total_dead,total_severe,total_input,total_newConfirm,total_newDead,total_newHeal,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm
420000,2021-04-03 00:02:13,湖北,68152,0,63639,4512,0,0,,,,0,,0,0,,0
810000,2021-04-03 09:07:27,香港,11499,0,11122,205,0,0,,,,19,,14,0,,5
440000,2021-04-03 08:57:26,广东,2285,0,2237,8,0,0,,,,3,,1,0,,2
310000,2021-04-03 08:57:25,上海,1891,0,1839,7,0,0,,,,4,,5,0,,-1
230000,2021-04-03 00:02:12,黑龙江,1610,0,1597,13,0,0,,,,0,,0,0,,0
330000,2021-04-03 00:02:13,浙江,1323,0,1320,1,0,0,,,,0,,0,0,,0
130000,2021-04-03 00:02:12,河北,1317,0,1310,7,0,0,,,,0,,0,0,,0
410000,2021-04-03 00:02:12,河南,1311,0,1283,22,0,0,,,,0,,0,0,,0
110000,2021-04-03 08:57:25,北京,1050,0,1037,9,0,0,456.0,0.0,452.0,1,,0,0,,1
430000,2021-04-03 08:57:26,湖南,1043,0,1033,4,0,0,,,,0,,0,0,,0
700000,2021-04-03 09:07:26,台湾,1039,0,987,10,0,0,,,,3,,4,0,,-1
340000,2021-04-03 00:02:12,安徽,994,0,988,6,0,0,,,,0,,0,0,,0
650000,2021-04-03 00:02:13,新疆,980,0,977,3,0,0,,,,0,,0,0,,0
510000,2021-04-03 08:57:25,四川,949,0,930,3,0,0,,,,0,,1,0,,-1
360000,2021-04-03 09:37:24,江西,937,0,936,1,0,0,,,,0,,2,0,,-2
370000,2021-04-03 00:02:13,山东,870,0,862,7,0,0,,,,0,,0,0,,0
320000,2021-04-03 09:37:25,江苏,711,0,704,0,0,0,,,,1,,0,0,,1
500000,2021-04-03 00:02:13,重庆,591,0,585,6,0,0,,,,0,,0,0,,0
220000,2021-04-03 00:02:12,吉林,573,0,570,3,0,0,,,,0,,0,0,,0
350000,2021-04-03 10:02:28,福建,570,0,551,1,0,0,,,,9,,1,0,,8
610000,2021-04-03 10:32:26,陕西,568,0,555,3,0,0,,,,0,,1,0,,-1
210000,2021-04-03 00:02:13,辽宁,407,0,405,2,0,0,,,,0,,0,0,,0
150000,2021-04-03 00:02:13,内蒙古,375,0,368,1,0,0,,,,0,,0,0,,0
120000,2021-04-03 08:57:25,天津,373,0,360,3,0,0,,,,0,,0,0,,0
450000,2021-04-03 00:02:13,广西,267,0,265,2,0,0,,,,0,,0,0,,0
530000,2021-04-03 08:57:26,云南,259,0,231,2,0,0,,,,8,,0,0,,8
140000,2021-04-03 00:02:13,山西,241,0,240,0,0,0,,,,0,,0,0,,0
620000,2021-04-03 00:02:13,甘肃,193,0,186,2,0,0,,,,0,,0,0,,0
460000,2021-04-03 00:02:12,海南,171,0,165,6,0,0,,,,0,,0,0,,0
520000,2021-04-03 00:02:13,贵州,147,0,145,2,0,0,,,,0,,0,0,,0
640000,2021-04-03 00:02:13,宁夏,75,0,75,0,0,0,,,,0,,0,0,,0
820000,2021-04-03 00:02:12,澳门,48,0,48,0,0,0,,,,0,,0,0,,0
630000,2021-04-03 00:02:12,青海,18,0,18,0,0,0,,,,0,,0,0,,0
540000,2021-04-03 00:02:12,西藏,1,0,1,0,0,0,,,,0,,0,0,,0
