id,lastUpdateTime,name,total_confirm,total_suspect,total_heal,total_dead,total_severe,total_input,total_newConfirm,total_newDead,total_newHeal,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm
420000,2021-05-06 08:03:34,湖北,68158,0,63640,4512,0,0,,,,0,,0,0,,0
810000,2021-05-06 08:28:32,香港,11796,0,11462,210,0,0,,,,6,,11,0,,-5
440000,2021-05-06 08:43:34,广东,2360,0,2297,8,0,0,,,,1,,3,0,,-2
310000,2021-05-06 08:13:32,上海,1999,0,1932,7,0,0,,,,0,,2,0,,-2
230000,2021-05-06 08:03:33,黑龙江,1610,0,1597,13,0,0,,,,0,,0,0,,0
330000,2021-05-06 08:03:34,浙江,1344,0,1322,1,0,0,,,,0,,0,0,,0
130000,2021-05-06 08:03:34,河北,1317,0,1310,7,0,0,,,,0,,0,0,,0
410000,2021-05-06 08:43:33,河南,1312,0,1289,22,0,0,,,,0,,1,0,,-1
700000,2021-05-06 08:28:31,台湾,1160,0,1074,12,0,0,,,,7,,7,0,,0
110000,2021-05-06 08:03:34,北京,1057,0,1045,9,0,0,463.0,0.0,460.0,0,,0,0,,0
430000,2021-05-06 08:03:34,湖南,1044,0,1037,4,0,0,,,,0,,0,0,,0
340000,2021-05-06 08:03:34,安徽,994,0,988,6,0,0,,,,0,,0,0,,0
510000,2021-05-06 08:28:31,四川,992,0,956,3,0,0,,,,2,,0,0,,2
650000,2021-05-06 08:03:34,新疆,980,0,977,3,0,0,,,,0,,0,0,,0
360000,2021-05-06 08:03:34,江西,937,0,936,1,0,0,,,,0,,0,0,,0
370000,2021-05-06 08:03:34,山东,879,0,868,7,0,0,,,,0,,0,0,,0
320000,2021-05-06 08:03:34,江苏,720,0,711,0,0,0,,,,0,,0,0,,0
500000,2021-05-06 08:03:34,重庆,596,0,585,6,0,0,,,,0,,0,0,,0
350000,2021-05-06 09:38:34,福建,593,0,569,1,0,0,,,,0,,1,0,,-1
610000,2021-05-06 09:28:35,陕西,590,0,579,3,0,0,,,,0,,1,0,,-1
220000,2021-05-06 08:03:33,吉林,573,0,570,3,0,0,,,,0,,0,0,,0
210000,2021-05-06 08:03:34,辽宁,408,0,406,2,0,0,,,,0,,0,0,,0
120000,2021-05-06 09:18:34,天津,386,0,377,3,0,0,,,,0,,1,0,,-1
150000,2021-05-06 08:03:34,内蒙古,382,0,377,1,0,0,,,,0,,0,0,,0
530000,2021-05-06 08:03:34,云南,347,0,298,2,0,0,,,,2,,1,0,,1
450000,2021-05-06 08:03:34,广西,275,0,266,2,0,0,,,,0,,0,0,,0
140000,2021-05-06 08:03:34,山西,251,0,243,0,0,0,,,,0,,0,0,,0
620000,2021-05-06 08:03:34,甘肃,193,0,190,2,0,0,,,,0,,0,0,,0
460000,2021-05-06 08:03:34,海南,188,0,165,6,0,0,,,,0,,0,0,,0
520000,2021-05-06 08:03:34,贵州,147,0,145,2,0,0,,,,0,,0,0,,0
640000,2021-05-06 08:03:34,宁夏,75,0,75,0,0,0,,,,0,,0,0,,0
820000,2021-05-06 08:03:33,澳门,49,0,49,0,0,0,,,,0,,0,0,,0
630000,2021-05-06 08:03:33,青海,18,0,18,0,0,0,,,,0,,0,0,,0
540000,2021-05-06 08:03:33,西藏,1,0,1,0,0,0,,,,0,,0,0,,0
