id,lastUpdateTime,name,total_confirm,total_suspect,total_heal,total_dead,total_severe,total_input,total_newConfirm,total_newDead,total_newHeal,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm
420000,2021-05-30 00:03:57,湖北,68159,0,63645,4512,0,0,,,,0,,0,0,,0
810000,2021-05-30 08:44:05,香港,11837,0,11571,210,0,0,,,,1,,1,0,,0
700000,2021-05-30 14:39:15,台湾,8160,0,1133,110,0,0,,,,845,,0,32,,813
440000,2021-05-30 08:34:05,广东,2432,0,2381,8,0,0,,,,1,,4,0,,-3
310000,2021-05-30 08:34:05,上海,2093,0,2019,7,0,0,,,,5,,1,0,,4
230000,2021-05-30 00:03:56,黑龙江,1612,0,1597,13,0,0,,,,0,,0,0,,0
330000,2021-05-30 08:34:05,浙江,1364,0,1323,1,0,0,,,,0,,0,0,,0
130000,2021-05-30 00:03:56,河北,1317,0,1310,7,0,0,,,,0,,0,0,,0
410000,2021-05-30 00:03:56,河南,1314,0,1290,22,0,0,,,,0,,0,0,,0
110000,2021-05-30 00:03:57,北京,1059,0,1046,9,0,0,465.0,0.0,461.0,0,,0,0,,0
430000,2021-05-30 00:03:57,湖南,1051,0,1039,4,0,0,,,,0,,0,0,,0
510000,2021-05-30 08:34:05,四川,1025,0,990,3,0,0,,,,1,,0,0,,1
340000,2021-05-30 08:34:05,安徽,1004,0,994,6,0,0,,,,0,,0,0,,0
650000,2021-05-30 00:03:56,新疆,980,0,977,3,0,0,,,,0,,0,0,,0
360000,2021-05-30 00:03:56,江西,937,0,936,1,0,0,,,,0,,0,0,,0
370000,2021-05-30 00:03:57,山东,883,0,873,7,0,0,,,,0,,0,0,,0
320000,2021-05-30 14:39:15,江苏,726,0,716,0,0,0,,,,0,,1,0,,-1
350000,2021-05-30 14:39:16,福建,620,0,588,1,0,0,,,,2,,1,0,,1
610000,2021-05-30 14:39:15,陕西,616,0,592,3,0,0,,,,1,,0,0,,1
500000,2021-05-30 00:03:56,重庆,598,0,586,6,0,0,,,,0,,0,0,,0
220000,2021-05-30 00:03:56,吉林,573,0,570,3,0,0,,,,0,,0,0,,0
210000,2021-05-30 08:34:05,辽宁,425,0,412,2,0,0,,,,0,,1,0,,-1
120000,2021-05-30 08:34:05,天津,393,0,380,3,0,0,,,,0,,0,0,,0
150000,2021-05-30 14:39:16,内蒙古,387,0,383,1,0,0,,,,1,,0,0,,1
530000,2021-05-30 00:03:57,云南,352,0,331,2,0,0,,,,0,,0,0,,0
450000,2021-05-30 00:03:57,广西,275,0,268,2,0,0,,,,0,,0,0,,0
140000,2021-05-30 08:34:05,山西,253,0,248,0,0,0,,,,0,,0,0,,0
620000,2021-05-30 08:34:05,甘肃,194,0,192,2,0,0,,,,0,,1,0,,-1
460000,2021-05-30 00:03:56,海南,188,0,181,6,0,0,,,,0,,0,0,,0
520000,2021-05-30 00:03:57,贵州,147,0,145,2,0,0,,,,0,,0,0,,0
640000,2021-05-30 00:03:56,宁夏,76,0,75,0,0,0,,,,0,,0,0,,0
820000,2021-05-30 00:03:56,澳门,51,0,49,0,0,0,,,,0,,0,0,,0
630000,2021-05-30 00:03:56,青海,18,0,18,0,0,0,,,,0,,0,0,,0
540000,2021-05-30 00:03:56,西藏,1,0,1,0,0,0,,,,0,,0,0,,0
