id,lastUpdateTime,name,total_confirm,total_suspect,total_heal,total_dead,total_severe,total_input,total_newConfirm,total_newDead,total_newHeal,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm
420000,2021-05-26 00:02:00,湖北,68159,0,63645,4512,0,0,,,,0,,0,0,,0
810000,2021-05-26 00:02:00,香港,11835,0,11560,210,0,0,,,,1,,7,0,,-4
700000,2021-05-26 00:02:00,台湾,5456,0,1133,35,0,0,,,,1134,,0,12,,1122
440000,2021-05-26 07:27:09,广东,2413,0,2366,8,0,0,,,,0,,4,0,,-4
310000,2021-05-26 08:02:10,上海,2078,0,2004,7,0,0,,,,3,,4,0,,-1
230000,2021-05-26 00:01:59,黑龙江,1612,0,1597,13,0,0,,,,0,,0,0,,0
330000,2021-05-26 00:02:00,浙江,1362,0,1323,1,0,0,,,,0,,0,0,,0
130000,2021-05-26 00:02:00,河北,1317,0,1310,7,0,0,,,,0,,0,0,,0
410000,2021-05-26 00:02:00,河南,1314,0,1290,22,0,0,,,,0,,1,0,,-1
110000,2021-05-26 00:02:00,北京,1058,0,1046,9,0,0,464.0,0.0,461.0,0,,0,0,,0
430000,2021-05-26 00:02:00,湖南,1051,0,1039,4,0,0,,,,1,,0,0,,1
510000,2021-05-26 00:02:00,四川,1016,0,984,3,0,0,,,,1,,5,0,,-4
340000,2021-05-26 00:02:00,安徽,1004,0,989,6,0,0,,,,2,,0,0,,2
650000,2021-05-26 00:02:00,新疆,980,0,977,3,0,0,,,,0,,0,0,,0
360000,2021-05-26 00:02:00,江西,937,0,936,1,0,0,,,,0,,0,0,,0
370000,2021-05-26 00:02:00,山东,883,0,872,7,0,0,,,,0,,0,0,,0
320000,2021-05-26 00:02:00,江苏,724,0,714,0,0,0,,,,1,,1,0,,0
350000,2021-05-26 00:02:00,福建,615,0,587,1,0,0,,,,2,,2,0,,0
610000,2021-05-26 00:02:00,陕西,612,0,592,3,0,0,,,,1,,0,0,,1
500000,2021-05-26 00:02:00,重庆,598,0,586,6,0,0,,,,0,,0,0,,0
220000,2021-05-26 00:02:00,吉林,573,0,570,3,0,0,,,,0,,0,0,,0
210000,2021-05-26 00:02:00,辽宁,425,0,408,2,0,0,,,,0,,2,0,,-2
120000,2021-05-26 00:02:00,天津,393,0,379,3,0,0,,,,2,,0,0,,2
150000,2021-05-26 00:02:00,内蒙古,385,0,382,1,0,0,,,,0,,1,0,,-1
530000,2021-05-26 07:17:12,云南,352,0,330,2,0,0,,,,0,,2,0,,-2
450000,2021-05-26 00:02:00,广西,275,0,267,2,0,0,,,,0,,0,0,,0
140000,2021-05-26 00:02:00,山西,253,0,247,0,0,0,,,,2,,0,0,,2
620000,2021-05-26 00:02:00,甘肃,194,0,191,2,0,0,,,,0,,0,0,,0
460000,2021-05-26 00:02:00,海南,188,0,176,6,0,0,,,,0,,0,0,,0
520000,2021-05-26 00:02:00,贵州,147,0,145,2,0,0,,,,0,,0,0,,0
640000,2021-05-26 00:02:00,宁夏,76,0,75,0,0,0,,,,0,,0,0,,0
820000,2021-05-26 00:02:00,澳门,51,0,49,0,0,0,,,,1,,0,0,,1
630000,2021-05-26 00:02:00,青海,18,0,18,0,0,0,,,,0,,0,0,,0
540000,2021-05-26 00:01:59,西藏,1,0,1,0,0,0,,,,0,,0,0,,0
